draft_position,team
1 ,"MICHAEL's Frontline Precision"
2 ,"Yevich's Bookworms"
3 ,"Porta-johns"
4 ,"Like a touchdown in your mouth"
5 ,"Vrabel's Indiscretions"
6 ,"Jeff'd it up!"
7 ,"Bacon Egbuka and Cheese"
8 ,"Billups and Rozier Let it Ride"
9 ,"Nickeled and Danny Dimed"
10,"Daebo"
11 ,"The Sequined Barkeys"
12 ,"Fins Up!"
13 ,"The Rattler Snakes"
14 ,"Chasing the Dream"
